RMSE,max_features,n_estimators,bootstrap
48963.057514794535,6,1000,
48999.56664891546,8,1000,
49186.59493765748,8,200,
49198.34340551627,6,200,
49317.94404891604,6,100,
49322.24933406142,4,1000,
49339.806213071206,8,100,
49453.82568395821,4,200,
49483.68071427357,4,100,
49547.0229085019,8,50,
49611.07663423816,12,1000,
49672.962433513036,12,200,
49679.12134870886,4,50,
49713.78806095235,6,50,
49864.93883665308,12,100,
50213.52181895326,12,50,
51278.37877140253,4,10,False
52754.5632813202,3,10,False
53947.109627255726,1,1000,
54078.613467290095,1,200,
54360.90850110314,1,100,
54476.57050944266,2,10,False
54480.61605074933,1,50,
57831.136061214274,4,3,False
59974.60028085155,3,3,False
62381.765106921855,2,3,False
